                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.2205,                 1.2308,                 1.2613,                0.22508,                0.15854,                0.12179,                0.03878,                 2.4925,                 3.2936,                 2.7526,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1779,                 1.1357,                 1.2498,                0.27038,                0.20732,                0.12786,                0.04921,                 2.4678,                 2.7668,                 2.8169,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2934,                 1.2067,                 1.3428,                0.37574,                0.19512,                0.17064,                0.06446,                 2.4598,                 2.4963,                 2.8646,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2061,                 1.1635,                  1.238,                 0.3058,                0.21951,                0.17805,                0.06475,                 2.5113,                 2.5496,                 2.8286,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1086,                 1.1014,                 1.2262,                0.28028,                 0.2561,                0.17219,                0.05849,                 2.4941,                 2.6998,                  2.649,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2711,                 1.2457,                 1.2285,                0.26304,                 0.2561,                0.15187,                0.06434,                 2.4962,                 2.6623,                 2.6224,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2779,                 1.1799,                 1.2675,                0.27404,                 0.2439,                0.16708,                0.06184,                 2.4663,                 2.4781,                 2.5261,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2752,                  1.115,                 1.1891,                0.33077,                0.29268,                0.21312,                 0.0703,                 2.4069,                 2.3542,                 2.4334,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2271,                 1.1491,                 1.2278,                0.46236,                 0.2561,                0.22994,                0.08848,                 2.4216,                 2.2536,                 2.4409,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3136,                 1.1639,                 1.2341,                0.40919,                0.30488,                0.21245,                0.08982,                 2.4677,                 2.2531,                 2.5033,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2086,                 1.1238,                 1.1973,                 0.3463,                0.32927,                0.21287,                 0.0798,                 2.5698,                 2.4133,                 2.5551,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1299,                 1.0655,                 1.2375,                0.31904,                0.30857,                0.21951,                0.08614,                 2.5991,                  2.312,                 2.6317,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0664,                 1.0315,                 1.1661,                0.41272,                0.29268,                0.21536,                0.08501,                 2.5806,                 2.2508,                 2.6391,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1934,                 1.1037,                 1.2186,                0.50403,                0.26829,                0.23181,                0.08788,                 2.5277,                 2.2815,                 2.6073,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1901,                 1.1099,                 1.2213,                0.39144,                0.29812,                0.21317,                0.08025,                  2.571,                 2.3712,                 2.6482,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.2161,                 1.0909,                 1.1892,                0.40397,                0.29268,                0.20262,                0.06901,                 2.5645,                  2.412,                 2.6512,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1262,                 1.0361,                 1.1745,                0.32839,                0.26829,                0.18855,                0.07062,                 2.4631,                 2.4341,                 2.5311,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1256,                  1.101,                  1.314,                0.29882,                0.29268,                0.19137,                0.07726,                 2.3656,                 2.5459,                 2.4719,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1362,                0.99746,                 1.1961,                0.29461,                0.26829,                0.16875,                0.06404,                 2.4297,                 2.8171,                 2.4637,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2955,                 1.0732,                 1.1985,                0.31012,                0.26829,                0.15604,                0.04991,                  2.481,                 2.7255,                 2.5036,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.0572,                0.94464,                 1.1193,                0.25315,                0.29268,                 0.1367,                0.04802,                 2.6256,                 2.6379,                 2.6669,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0965,                 1.0228,                 1.1857,                0.24581,                0.30488,                0.14535,                 0.0524,                 2.5995,                 2.5602,                 2.6193,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0968,                 1.0061,                 1.2029,                0.33668,                0.31707,                0.20491,                 0.0615,                 2.4677,                 2.3619,                 2.5557,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0779,                 0.9725,                 1.1622,                0.39461,                0.31798,                0.23076,                0.07692,                  2.492,                 2.3017,                 2.6061,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1217,                 1.0149,                 1.1852,                0.41429,                0.32927,                0.24934,                0.08451,                 2.4955,                 2.2709,                 2.5824,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.199,                0.96514,                 1.1798,                0.47321,                0.32927,                0.25288,                0.07804,                 2.5635,                 2.2765,                 2.6023,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1532,                0.96839,                 1.1605,                 0.3566,                0.31707,                0.20767,                0.07084,                 2.5206,                 2.3726,                  2.519,             0.00056128,             0.00056128,             0.00056128
                     69,                0.94416,                0.89312,                 1.1576,                0.33817,                0.32406,                 0.2057,                0.06631,                 2.5203,                 2.3854,                  2.552,             0.00054478,             0.00054478,             0.00054478
