                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6834,                  3.367,                 1.7291,                0.00852,                0.29268,                0.07199,                0.03296,                 2.0629,                 3.8061,                 1.9897,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.4847,                 3.2001,                 1.5595,                0.01188,                0.28049,                0.10054,                0.03911,                 2.2213,                 3.8227,                 1.9863,             0.00014854,             0.00014854,             0.00014854
                      3,                 1.5322,                 2.8338,                 1.5983,                0.01337,                0.30488,                0.07336,                0.02153,                 2.3737,                 3.8038,                 2.0987,             0.00022876,             0.00022876,             0.00022876
                      4,                  1.583,                 2.5309,                 1.5571,                0.01244,                0.30488,                0.04815,                0.01478,                 2.4147,                  3.781,                 2.2566,             0.00030732,             0.00030732,             0.00030732
                      5,                 1.5544,                 2.2839,                 1.6003,                0.00915,                0.28049,                0.04389,                0.01435,                 2.3233,                 3.6902,                 2.2369,             0.00038424,             0.00038424,             0.00038424
                      6,                  1.633,                 2.3178,                 1.5614,                0.04999,                 0.2561,                0.07741,                0.03272,                 2.2488,                 3.4867,                 2.3112,              0.0004595,              0.0004595,              0.0004595
                      7,                 1.5501,                 2.0978,                 1.4978,                0.05783,                0.23171,                0.04899,                0.01605,                 2.4224,                  3.444,                  2.463,             0.00053311,             0.00053311,             0.00053311
                      8,                 1.5095,                 2.0587,                 1.4606,                0.19618,                0.04878,                0.05089,                0.01451,                 2.6761,                 3.6303,                 2.4917,             0.00060508,             0.00060508,             0.00060508
                      9,                 1.3992,                 1.8834,                 1.4458,                0.13788,                0.13415,                0.03478,                0.01087,                 2.7731,                 3.7005,                 2.6757,             0.00067539,             0.00067539,             0.00067539
                     10,                 1.5626,                  1.943,                 1.5226,                0.11035,                0.09756,                0.03349,                0.01174,                 2.9074,                 3.7194,                 2.9325,             0.00074405,             0.00074405,             0.00074405
                     11,                 1.5118,                  1.963,                 1.4716,                0.06747,                0.07317,                0.01698,                0.00515,                 3.2323,                 4.1476,                 3.0447,             0.00081106,             0.00081106,             0.00081106
                     12,                 1.5473,                  1.852,                 1.4005,                0.11722,                0.08537,                0.01997,                0.00648,                 3.1617,                 3.9942,                 3.0055,             0.00087642,             0.00087642,             0.00087642
                     13,                 1.5732,                 1.8684,                 1.4184,                0.07529,                0.07317,                0.02304,                0.00671,                 3.1025,                 3.8249,                 3.0312,             0.00094013,             0.00094013,             0.00094013
                     14,                 1.5205,                 1.9429,                 1.5496,                0.08395,                0.09756,                0.03696,                 0.0188,                 3.0422,                 4.0785,                 3.1458,              0.0010022,              0.0010022,              0.0010022
                     15,                 1.5512,                 1.8535,                 1.4289,                0.09788,                0.07317,                0.04684,                0.01688,                 2.8457,                 3.6951,                 2.8167,              0.0010626,              0.0010626,              0.0010626
                     16,                 1.5086,                 1.8173,                  1.407,                0.12196,                0.13415,                0.05205,                0.02201,                 2.7156,                 3.5671,                 2.6352,              0.0011214,              0.0011214,              0.0011214
                     17,                 1.5493,                 1.7563,                 1.4527,                0.11174,                0.13415,                0.05652,                0.02023,                 2.8836,                 3.5232,                  2.811,              0.0011785,              0.0011785,              0.0011785
                     18,                 1.5297,                 1.7672,                 1.4539,                0.09293,                0.12195,                0.05397,                 0.0172,                 2.7257,                 3.5875,                 2.6368,              0.0012339,              0.0012339,              0.0012339
                     19,                 1.6633,                 1.6463,                 1.4525,                0.06669,                0.12195,                0.03326,                0.01034,                 2.7618,                 3.6461,                  2.644,              0.0012877,              0.0012877,              0.0012877
                     20,                 1.3782,                  1.658,                 1.3612,                0.06071,                0.18293,                0.03445,                0.01013,                 2.7531,                 3.6034,                 2.6997,              0.0013399,              0.0013399,              0.0013399
                     21,                 1.3872,                  1.719,                 1.3772,                0.13903,                0.15854,                0.05858,                0.01729,                 2.6726,                 3.3331,                 2.5216,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3998,                 1.7187,                 1.4112,                 0.1707,                0.14634,                0.08474,                0.02433,                 2.6123,                 3.1491,                  2.428,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.5089,                 1.8315,                 1.4273,                0.15487,                0.16541,                0.06285,                0.02186,                 2.8795,                 3.3456,                 2.6879,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.3675,                 1.6283,                 1.3901,                0.12002,                0.10976,                0.03667,                 0.0126,                 2.7002,                 3.5653,                 2.5712,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4642,                 1.6517,                 1.3274,                0.15127,                0.15219,                0.07448,                0.02494,                 2.4489,                 3.2905,                 2.5589,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.3697,                 1.6268,                 1.4005,                0.28932,                0.12195,                0.08969,                0.03081,                   2.47,                 3.3376,                 2.7813,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.5283,                 1.6517,                  1.377,                0.35255,                0.13415,                0.09947,                0.03209,                 2.4779,                 3.2832,                 2.8513,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.4537,                  1.606,                 1.3621,                0.16013,                0.13415,                0.05426,                0.01529,                 2.5536,                 3.8138,                 3.0275,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.4102,                 1.5938,                  1.343,                0.16734,                0.13415,                0.04952,                0.01761,                 2.4179,                 3.5356,                 2.8852,              0.0012049,              0.0012049,              0.0012049
                     30,                  1.315,                 1.4885,                 1.3671,                0.15546,                0.17073,                0.05937,                0.02157,                 2.4285,                 3.5172,                 2.9997,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.3274,                  1.552,                 1.4115,                 0.2337,                0.14634,                0.11124,                0.03008,                 2.4146,                 3.5596,                  2.897,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2519,                 1.3459,                 1.2845,                0.16424,                0.18293,                0.07482,                 0.0246,                  2.467,                 3.4596,                 2.7672,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.4123,                 1.4476,                 1.3423,                0.14751,                0.19512,                0.07272,                0.02248,                 2.4033,                 3.5073,                 2.7012,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.4279,                 1.3911,                 1.2746,                0.14213,                 0.2439,                0.08203,                0.02871,                  2.403,                 3.3248,                 2.7477,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.5259,                 1.5018,                 1.3634,                0.13812,                0.18293,                 0.0899,                0.02378,                 2.5028,                 3.5143,                  2.729,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.401,                 1.5821,                 1.3484,                0.16429,                0.09756,                0.06187,                0.02443,                 2.5265,                 3.3825,                 2.8526,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1704,                 1.2962,                 1.2944,                0.12895,                0.09756,                0.05941,                0.02887,                 2.5146,                 3.5016,                 2.7554,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2636,                 1.3685,                 1.3148,                0.19193,                0.07317,                0.06344,                0.03157,                 2.5231,                 3.5567,                 2.7967,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2988,                 1.3476,                 1.2699,                0.11331,                0.19512,                 0.0602,                0.02449,                 2.5583,                  3.592,                 2.7562,              0.0010399,              0.0010399,              0.0010399
                     40,                   1.24,                 1.2705,                 1.2967,                0.16446,                0.15854,                0.05735,                0.01947,                 2.6404,                  3.806,                 2.8252,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3308,                 1.3934,                 1.2836,                0.18819,                0.15854,                 0.0802,                0.03365,                 2.6524,                 3.6473,                 2.7935,              0.0010069,              0.0010069,              0.0010069
