                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4352,                 1.4066,                 1.2851,                0.11934,                0.18293,                0.10043,                0.02562,                 2.7057,                 2.9661,                 2.7824,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5583,                 1.4767,                 1.3763,                0.14303,                0.19512,                0.10002,                0.03601,                  2.557,                  3.034,                  2.848,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4005,                 1.5211,                 1.3482,                0.24731,                0.15854,                0.10429,                 0.0398,                 2.5657,                 2.9451,                 2.9006,               0.001307,               0.001307,               0.001307
                     37,                 1.2171,                 1.3273,                 1.3252,                0.30441,                0.19512,                0.12386,                0.04931,                 2.4868,                 2.7458,                 2.7879,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.316,                 1.3627,                 1.3566,                0.27781,                0.19237,                0.14076,                0.05305,                 2.4089,                 2.7386,                 2.6322,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.391,                 1.3942,                 1.3111,                0.24924,                0.21951,                0.13014,                0.05352,                 2.4691,                 2.6424,                 2.6998,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3104,                 1.3276,                 1.3283,                0.31201,                0.19512,                0.13998,                0.05258,                 2.5376,                 2.7734,                 2.7432,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4388,                 1.4413,                 1.3768,                0.34332,                0.14634,                0.12254,                0.05201,                 2.5278,                 2.8741,                 2.7544,               0.001208,               0.001208,               0.001208
                     42,                 1.2693,                 1.2719,                 1.2989,                0.16146,                 0.2561,                 0.1195,                 0.0448,                 2.5232,                 2.9498,                 2.6894,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2224,                 1.1957,                 1.2821,                0.16766,                 0.2439,                 0.1324,                0.05535,                 2.4998,                 2.9304,                 2.5882,              0.0011684,              0.0011684,              0.0011684
